CityKey,CustomerCity,CustomerCountry,CountryKey,Latitude,Longitude
205,Dieppe,France,4,49.9216,1.07772
206,Bromölla,Sweden,5,56.07551,14.46958
207,Niort,France,4,46.32313,-0.45877
208,Perstorp,Sweden,5,56.13829,13.39476
209,Orsay,France,4,48.69572,2.18727
210,Fontenay-sous-Bois,France,4,48.85442,2.48268
211,Szombathely,Hungary,15,47.23088,16.62155
212,Zamora,Spain,16,41.50633,-5.74456
213,Tlumačov,Czech Republic,8,49.25351,17.49559
214,Borås,Sweden,5,57.72101,12.9401
215,Lappeenranta,Finland,13,61.05871,28.18871
216,Ljungskile,Sweden,5,58.22452,11.92014
217,Pécs,Hungary,15,46.0725,18.23083
218,Velké Losiny,Czech Republic,8,50.03197,17.04058
219,Göteborg,Sweden,5,57.70716,11.96679
220,Valence,France,4,44.9256,4.90956
221,Valence,France,4,44.10823,0.89101
222,Dolní Černilov,Czech Republic,8,50.2611,15.96107
223,Terezín,Czech Republic,8,50.511,14.15055
224,Féres,Greece,9,40.89305,26.17234
225,Hodošan,Croatia,11,46.39528,16.64389
226,Bègles,France,4,44.80759,-0.55144
227,Remiremont,France,4,48.01754,6.5882
228,Sidirókastro,Greece,9,41.23499,23.38899
229,Piteå,Sweden,5,65.31717,21.47944
230,Nová Paka,Czech Republic,8,50.49449,15.51503
231,Hollola,Finland,13,61.0,25.5
232,Hollola,Finland,13,61.05,25.43333
233,Castelsarrasin,France,4,44.04042,1.10666
234,Karlskoga,Sweden,5,59.32667,14.52386
235,Trondheim,Norway,7,63.43049,10.39506
236,Le Puy-en-Velay,France,4,45.04366,3.88523
237,Sundsvall,Sweden,5,62.39129,17.3063
238,Bagnolet,France,4,48.86667,2.41667
239,Norton,United Kingdom,17,54.13303,-0.78501
240,Norton,United Kingdom,17,53.63333,-1.18333
241,Norton,United Kingdom,17,51.55944,-2.165
242,Chropyně,Czech Republic,8,49.35644,17.36451
243,Hvar,Croatia,11,43.1725,16.44278
244,Storvik,Sweden,5,65.15,20.73333
245,Storvik,Sweden,5,60.58333,16.53333
246,Trollhättan,Sweden,5,58.28365,12.28864
247,Villefranche-sur-Mer,France,4,43.70392,7.31088
248,Kävlinge,Sweden,5,55.79188,13.11021
249,Beauvais,France,4,49.43333,2.08333
250,Arvika,Sweden,5,59.65528,12.58518
251,Créteil,France,4,48.79266,2.46569
252,Lorient,France,4,47.74817,-3.37177
253,Šenčur,Slovenia,14,46.24556,14.41972
254,Kajaani,Finland,13,64.22728,27.72846
255,Romans-sur-Isère,France,4,45.0496,5.06602
256,Bollstabruk,Sweden,5,62.99777,17.67348
257,Zátor,Czech Republic,8,50.03413,17.59296
258,Pentaplátano,Greece,9,40.81902,22.41903
259,Zlonice,Czech Republic,8,50.2875,14.09214
260,Jelsa,Croatia,11,43.16139,16.69306
261,Bollnäs,Sweden,5,61.34817,16.39464
262,Valbo,Sweden,5,60.65,17.03333
263,Všetaty,Czech Republic,8,50.28187,14.59297
264,Néa Plágia,Greece,9,40.26537,23.20376
265,Puteaux,France,4,48.88341,2.23894
266,Saint-Lô,France,4,49.11624,-1.09031
267,Ayía Triás,Greece,9,37.63707,22.80504
268,Bílovec,Czech Republic,8,49.75639,18.01581
269,Hrotovice,Czech Republic,8,49.1077,16.06067
270,Avesta,Sweden,5,60.14274,16.16295
271,Gospić,Croatia,11,44.54611,15.37472
272,Caen,France,4,49.18585,-0.35912
273,Istres,France,4,43.51345,4.98747
274,Slavkov u Brna,Czech Republic,8,49.15325,16.87649
275,Ed,Sweden,5,58.91247,11.93308
276,Sabadell,Spain,16,41.54329,2.10942
277,Ånge,Sweden,5,62.52495,15.65904
278,Imotski,Croatia,11,43.44667,17.21667
279,Vuzenica,Slovenia,14,46.59639,15.16722
280,Greda,Croatia,11,43.61528,16.69361
281,Uppsala,Sweden,5,59.85882,17.63889
282,Angers,France,4,47.47156,-0.55202
283,Besançon,France,4,47.24878,6.01815
284,Amsterdam,Netherlands,10,52.37403,4.88969
285,Västervik,Sweden,5,57.7584,16.63733
286,Nevers,France,4,46.98956,3.159
287,Vítkov,Czech Republic,8,49.77445,17.74941
288,Černovice,Czech Republic,8,49.37265,14.96089
289,Cergy-Pontoise,France,4,49.03894,2.07805
290,Jakartovice,Czech Republic,8,49.9151,17.684
291,Mokronog,Slovenia,14,45.93417,15.14083
292,Kuršėnai,Lithuania,12,56.00318,22.93662
293,Zwolle,Netherlands,10,52.5125,6.09444
294,Toulouse,France,4,43.60426,1.44367
295,Vidče,Czech Republic,8,49.44151,18.09473
296,Kimméria,Greece,9,41.14788,24.93869
297,Tuusniemi,Finland,13,62.81667,28.5
298,Saint-Brieuc,France,4,48.51513,-2.76838
299,Žlutice,Czech Republic,8,50.09192,13.16297
300,Lepoglava,Croatia,11,46.21056,16.03556
301,Klenčí pod Čerchovem,Czech Republic,8,49.43484,12.81473
302,Pentre,United Kingdom,17,51.65429,-3.49133
303,Skópelos,Greece,9,39.02922,26.44836
304,Skópelos,Greece,9,39.12144,23.72686
305,Falun,Sweden,5,60.60357,15.62597
306,Umeå,Sweden,5,63.82842,20.25972
307,Åhus,Sweden,5,55.91667,14.28333
